robot_id,task_type,task_duration,energy_consumption,position_coordinates,robot_speed,sensor_id,sensor_type,sensor_reading,timestamp,data_size,network_load,network_latency,packet_loss_rate,network_type,slice_id,slice_bandwidth,command_delay,feedback_delay,data_transfer_time,total_delay,signal_strength,latency,resource_allocation,error_rate
R034,Pick-and-Place,76.36572569917097,7.7593284944539,"(6.277080530714178, 3.3490561465708613, 1.3927207266338726)",1.2734277081973255,S1,Pressure,96.81677749152873,2025-01-21 10:33:00,931,94.94231539809608,16.28604680058234,3.5349023062172953,Wi-Fi,Slice3,1088,5.502986521036691,21.39779369742633,25.24917371481381,61.53378211708558,-59.737547538522776,17.318859570080193,81.65947605432811,0.8464522917345182
R035,Pick-and-Place,171.62135120913752,4.599669709395095,"(2.2925139523264146, 7.222525683930662, 7.200365365460744)",1.1052623961738273,S3,Pressure,77.55397176720858,2025-01-21 10:34:00,580,90.66997069522697,19.386121918460418,1.712621285892717,6G,Slice4,822,11.930087054661989,28.945666792236306,13.067028062321604,61.87393106930388,-54.82333963346602,14.171813531519717,80.27165275731261,0.8721239089441515
R036,Welding,189.1499133648214,6.828954537253594,"(1.5253904291426135, 5.762883601668132, 6.067150463828559)",0.8665437384326247,S8,Temperature,97.76705538720329,2025-01-21 10:35:00,1942,73.07026954614335,8.538590518926217,0.8276025518364488,6G,Slice3,1624,9.982196189824084,16.228885280912824,14.547912417542253,48.798465857250456,-58.620829048433535,16.163744777649335,83.08369712563456,0.7877898887144924
R037,Assembly,106.68988403676019,5.592674774363774,"(5.373956029379229, 9.198556164127606, 3.4634599436596125)",0.7816485220858505,S2,Motion,83.56653822669422,2025-01-21 10:36:00,1450,70.82116675608596,18.69124194318693,1.2411322137857594,5G,Slice3,1509,5.5081874036989245,16.229463422655147,25.609914150921753,53.735500840422915,-63.39708357756709,8.190211765118395,87.72760523610219,0.9755413156827563
R038,Welding,80.81278188543581,5.6584964949080945,"(0.8534966807864386, 9.968742518459473, 5.021950103312426)",1.0549235190520483,S7,Motion,76.29716779286757,2025-01-21 10:37:00,1234,78.73467497623332,12.02347742662069,3.1248799352552616,5G,Slice2,1967,13.472616998939246,11.314172788567047,25.51055233390021,57.56378629514664,-54.2682919201726,11.611441204073422,86.01144591312989,0.5596403313082179
R039,Pick-and-Place,74.41740710638418,5.337451245241929,"(0.7550336380388922, 7.5324622074745085, 2.7230185472029946)",1.3871734508007727,S2,Temperature,70.76159066981035,2025-01-21 10:38:00,2011,90.99472148641426,18.004906400172853,2.0399224768242235,5G,Slice3,1242,12.582618186590507,21.90097959400841,16.78542491792382,59.11624028734024,-43.376185524594916,13.350823771750491,90.8121964446576,0.8053149673579051
R040,Assembly,144.44763630477715,7.2274005958503444,"(9.626493185548746, 9.444097255772734, 1.4108184877771357)",0.8470315391008743,S7,Pressure,70.39005770532208,2025-01-21 10:39:00,1286,88.39761532990006,17.721921432003253,0.6138844483135425,Wi-Fi,Slice4,1499,15.559192027077643,28.21248007080608,22.495225420865022,72.94622680449793,-45.24678005732021,10.445888182926357,80.51342166230793,0.8306545065652498
R041,Welding,117.31763130677366,6.208188723407921,"(4.361265291353167, 2.9446575954191765, 9.484533069621566)",1.239966373575737,S8,Temperature,96.05403927693739,2025-01-21 10:40:00,1143,94.63418280604337,12.065981790407216,0.9105356941079162,6G,Slice3,1325,16.125304163429984,23.97691706321809,18.05100087193961,64.24333763605811,-50.648374966920116,11.325559018299227,81.98414316687996,0.9005723012363857
R042,Assembly,98.12302571271165,4.0735627061898665,"(9.14298806560499, 1.1775108289014113, 5.765164755142536)",0.7014607427559266,S1,Temperature,89.54261165055593,2025-01-21 10:41:00,1913,88.0050645408074,6.598680951930115,0.700092693302245,Wi-Fi,Slice1,1445,15.982768676885936,15.014613211231955,22.661961267148953,61.13071240595821,-52.80116865461798,17.57160444767444,86.06572252323537,0.7709113770642705
R043,Assembly,66.5752353485077,4.665133475024318,"(7.380336164263705, 0.8279866792512647, 6.031521094663882)",0.6698840206494531,S5,Motion,78.660812103121,2025-01-21 10:42:00,2047,92.88784193229785,15.822992916828584,3.052023335039788,6G,Slice2,854,14.955067480439721,28.73659478649516,24.651441944205004,74.41780610409367,-69.06450594816145,8.933960664497377,88.92616896050382,0.05142581348425035
R044,Assembly,193.73308378128706,4.618688563532945,"(6.233325509049907, 4.742373087003696, 3.4438373204423325)",0.7866941772476408,S1,Temperature,91.14776649066859,2025-01-21 10:43:00,553,81.49203781902828,6.139001155544332,0.3888267203947854,Wi-Fi,Slice2,901,13.853460003036307,17.219477938800537,11.831641466532684,52.49114728568074,-65.89544107243115,19.253560307312036,86.69008659436933,0.18513292883861965
R045,Assembly,194.14391102055026,7.033569655782726,"(6.389493853342618, 7.590358455388499, 7.241033292731386)",1.1009547377684357,S8,Temperature,97.10091437908075,2025-01-21 10:44:00,1803,75.53023604549006,19.815020119949708,4.720296698433066,Wi-Fi,Slice4,1577,13.823956354548965,29.987069991316698,21.116131628743595,72.29320856501593,-60.614354304832375,6.807838681796967,90.96535507187423,0.19259902778563043
R046,Assembly,119.04677236227175,7.181367351836389,"(7.450645481202204, 0.5488261464647493, 4.551436850361561)",0.9746780336782859,S7,Temperature,89.50502051329684,2025-01-21 10:45:00,1687,75.75022093219258,6.808503286659182,0.3847660081460458,5G,Slice3,1735,11.615482426222425,18.089708993637014,21.448555188669314,60.17363150553324,-53.84795528857637,14.924827626208122,91.06783650359787,0.5201681098787319
R047,Welding,146.22084634552266,4.9318378990145355,"(0.2440078155653802, 8.700988739009299, 0.21269410850387138)",1.3621718399526195,S2,Motion,72.10089117242413,2025-01-21 10:46:00,1325,78.76779538629276,16.5078243339669,2.009654568046211,5G,Slice4,1496,13.711358108409916,15.433739421380082,17.96574767951271,52.56934188485986,-59.90888608514734,12.837787874517847,90.98407710776968,0.003346362042979223
R048,Welding,109.64710206970872,5.148955966616327,"(2.963081204559901, 2.3360775104990994, 0.42093189636361883)",0.4196613282067552,S9,Motion,81.52979941479045,2025-01-21 10:47:00,1879,73.1109389324214,19.346235463391373,3.989946610716917,5G,Slice3,1509,19.734957726201223,27.683979562630057,22.01596892884396,78.95352605355158,-40.32445270559923,16.150292343404363,80.9747961422434,0.40158023642548746
R049,Welding,150.9505308589316,6.430947179515437,"(5.126885110165086, 2.3066981171775867, 1.7652803200550826)",0.6425348299771929,S1,Pressure,93.3875342070026,2025-01-21 10:48:00,565,94.22756575352028,18.256788274451385,4.638761415976065,6G,Slice1,1218,16.37357713556137,23.920412361075844,13.077918126797101,62.4510732483874,-63.26678284490018,8.357264222339346,88.05461634340121,0.5929399348417032
R050,Assembly,180.41775429850932,5.829728391094829,"(3.9116976608037977, 2.7295937485631496, 4.7667682833036835)",0.44881432988656045,S2,Pressure,94.28548224174634,2025-01-21 10:49:00,551,93.28973720797475,16.02818981785179,1.406954802887634,Wi-Fi,Slice2,1127,15.435714392746252,10.975671633463461,20.65205038801524,56.8740462771852,-66.71593419836638,18.417198964521013,94.87213002717573,0.06151702623923505
R051,Welding,127.28212082573071,6.36963113863807,"(8.246809659251491, 3.4780920790219305, 6.780161525590636)",1.0223051603953701,S1,Pressure,85.63780936541245,2025-01-21 10:50:00,847,86.46129586646063,17.75872593641363,4.336471004799012,5G,Slice1,1162,8.580350469515263,28.601807010194772,12.116681876571679,57.79379304647966,-64.32335380644983,18.224556991555254,94.4197293227736,0.46547000876998357
R052,Pick-and-Place,175.61434507906677,4.515479469893781,"(3.351188542591419, 7.435082562916078, 1.607598960483082)",1.2997637265309685,S7,Pressure,78.61114399524739,2025-01-21 10:51:00,1581,78.16083941258232,13.397664684632442,0.5792192839012883,6G,Slice4,1247,13.099780695737833,25.596907903022874,12.139612776539169,59.64144088781001,-53.76200263971669,19.44488005788492,85.1280824905803,0.6326218931339481
R053,Assembly,165.51783676707268,7.1552279274829775,"(1.737534753075668, 7.708541085409898, 9.47297888256338)",0.5830153456254996,S6,Temperature,87.4651138052882,2025-01-21 10:52:00,1216,71.44801151396996,6.12041626636781,4.262073295993238,6G,Slice4,1486,19.53316782928537,24.993036634858495,12.60172480261264,65.91924524640163,-69.26239250623595,5.331853272934959,84.85415328724312,0.48864319040466575
R054,Pick-and-Place,95.35122495637351,4.004117919382534,"(1.5893828327675652, 4.6853941676858435, 9.443036349578298)",0.5124129816630909,S9,Motion,85.81072288635586,2025-01-21 10:53:00,1308,87.34205564453721,8.311544191831405,0.4119052280792135,6G,Slice4,1845,6.970026896140671,27.361086450645857,29.264733068802638,68.75235798432675,-48.06189799078943,18.642867664217277,92.86040138138748,0.9645204722702085
R055,Pick-and-Place,98.3901283288138,7.935910591839313,"(4.09334006315043, 8.940992036791345, 2.299546058910862)",0.6344151744275917,S1,Temperature,91.44772120606743,2025-01-21 10:54:00,1806,81.78831150256282,13.148492086849371,0.7962286913963224,5G,Slice1,1319,16.563827669660782,26.895664562337753,25.220479818859978,76.81107365901559,-66.06265366952837,5.487892692368779,93.8127177172353,0.616650314520738
R056,Assembly,124.6936207071925,4.004927340665704,"(5.9832726512242695, 6.073064482626712, 2.475399556033752)",1.0142539398415178,S9,Motion,89.54558400406793,2025-01-21 10:55:00,1012,76.72483511087744,16.96338650955782,1.5518097946178688,5G,Slice1,871,11.968978949537153,23.609132527186503,17.910901677599373,63.362512413676484,-48.34337116219195,14.854757863467396,91.35588901416835,0.952648638038717
R057,Welding,65.54663554877,5.922027789031316,"(1.0493017841817487, 2.4204501586252745, 9.866625932671464)",0.5567450971916645,S6,Pressure,76.31048739756606,2025-01-21 10:56:00,1184,83.99121708717286,5.146562711287755,1.6323065412199593,6G,Slice1,1600,18.238002287294,11.650170688808426,26.490280937936678,63.16746066868046,-60.33715893341994,19.661995794721786,83.01288634793441,0.6931939408226809
R058,Pick-and-Place,88.02103419427341,4.669930329036279,"(1.0456784033440025, 6.364302495436367, 7.064757264869011)",0.4347447593082063,S6,Temperature,71.55913850954417,2025-01-21 10:57:00,1951,77.47089715843285,19.028027229491897,4.736752313155193,6G,Slice4,910,17.222376706197686,11.602296927693503,27.896333121210553,64.45896863587042,-45.48106690112519,11.784774267774502,89.65366542794787,0.5264026609361132
R059,Assembly,121.40501030853537,6.899306239496234,"(5.932786483101787, 6.502941858734539, 4.792789285762873)",1.0773162241364673,S3,Motion,84.10547778089995,2025-01-21 10:58:00,1196,74.55294789221747,16.845477607137187,3.2935388775043806,Wi-Fi,Slice4,1713,14.79894528855995,16.646292507102178,20.84957271438735,59.761194743968474,-67.5542053134272,11.048920416857477,83.30841687383484,0.4183997886676527
R060,Pick-and-Place,96.07560439156993,5.850491826957265,"(8.682725054083805, 7.271690697663081, 7.42706521199981)",0.868042667892883,S4,Pressure,99.62948691208173,2025-01-21 10:59:00,663,83.58251308408221,12.709938017130874,2.9402918904503963,6G,Slice1,1665,12.300034121370544,27.46846476163321,28.01403728022517,74.89114079759621,-61.695166082948454,13.885254928900434,93.68545018425036,0.21066218900566658
R061,Welding,125.21379298283479,7.343992255124838,"(2.3579209395920984, 7.760002070354295, 4.053101830857434)",1.0620409220282094,S2,Motion,82.39093523943092,2025-01-21 10:00:00,1516,80.92913472042066,6.460900888303282,2.0251039954016075,6G,Slice4,1030,10.388500540996485,21.85901702869855,13.270477451700454,52.4734027046543,-40.917630329941375,8.872001490516913,89.85104996811938,0.3251900642246949
R062,Welding,93.18389999516707,4.938696153046204,"(8.837096696607526, 4.420243737828575, 3.3088936298917195)",0.8936553312145434,S9,Temperature,83.48301505641213,2025-01-21 10:01:00,1483,87.66943042213614,7.505628618514248,0.8380960814415883,5G,Slice3,1486,14.957067914327077,19.492617514996276,26.883408979383944,70.36144517345757,-52.439369068097434,18.02406920769888,83.08761815055152,0.11191961939772788
R063,Assembly,198.13701725000263,4.491883234118507,"(2.311309124276466, 0.5169683724152696, 6.400029668369137)",0.647171294669948,S5,Temperature,72.65666752669725,2025-01-21 10:02:00,1696,82.68087021720982,5.6235928857558815,0.7417160048104443,5G,Slice2,925,19.277176781348587,22.78239875631001,27.358365890400442,76.69164070622833,-54.53211914262249,12.332698703853803,90.00296386319157,0.1396512547563129
R064,Assembly,103.11019182276672,6.818723050946587,"(2.0185345212294834, 6.734324333249173, 9.699120461072704)",0.5032907873683603,S8,Temperature,83.31250657913714,2025-01-21 10:03:00,1028,94.08367082050998,8.829597870926477,3.308161751855734,Wi-Fi,Slice2,1226,15.248720424344688,19.94349528016855,22.356944804024277,66.8936854309311,-52.881707600835114,5.455805895452553,93.96423043260467,0.6895267510315611
R065,Welding,144.08533595647305,7.76350142535226,"(8.268388837118774, 6.669715169909073, 5.771852367117481)",0.7834310339661676,S2,Pressure,88.14861768071623,2025-01-21 10:04:00,1086,94.42935460553294,11.10361941084306,4.353767251686296,5G,Slice1,1388,9.33028393295957,12.182192635314994,23.010232955834315,53.3486638468878,-42.229755073578644,11.572585196179816,93.52063474382666,0.8778911590413275
R066,Pick-and-Place,120.98166407381062,7.2713368647000864,"(1.2020905537060844, 5.444890979608496, 0.057586604981215705)",0.7570444128902973,S7,Motion,90.86401620069586,2025-01-21 10:05:00,1339,83.71249304128692,13.947282124781324,2.728434442477367,Wi-Fi,Slice4,901,6.097938856526655,22.06897186762756,23.364255971100327,59.62861842530261,-56.09517868598283,10.696786702688447,92.95000474357738,0.519081785136218
R067,Assembly,187.9931122332058,7.255065153278346,"(1.0891834184673144, 1.489918559701947, 5.266237972689596)",0.6706766246777981,S4,Motion,81.8309597145505,2025-01-21 10:06:00,854,90.32464346790233,15.771846143397417,4.777618479774674,5G,Slice1,1206,11.4629313730705,27.93428579680245,11.425605401103278,60.59612272114276,-50.359207557059555,10.701117634058079,82.95731189859316,0.4791832294435999
R068,Pick-and-Place,74.19891598289031,5.943487036745303,"(2.567765677205079, 2.8487290196192285, 3.0728996492628657)",1.2833284876159299,S3,Pressure,88.31001349932755,2025-01-21 10:07:00,513,76.81560001833834,11.203236522880273,0.6094304666847378,Wi-Fi,Slice3,1931,7.721575215434404,20.503267673341202,24.180925234448654,57.94015273869798,-52.98063341113289,8.848441755520456,94.4439031285637,0.4835456467199247
R069,Pick-and-Place,174.20481009059932,5.49403873215355,"(5.26499194153781, 1.1230434441121917, 0.025840148449823852)",1.1017837263726276,S5,Pressure,87.80615707369441,2025-01-21 10:08:00,1561,75.30112099770567,14.164714832764876,2.0551423490335234,5G,Slice2,1383,16.549170503775184,21.132741158734344,15.112899956185446,59.30511412786895,-48.04125797243096,17.76761391279156,90.07137004295922,0.8095299757684418
